DateTime,%leafs,%flowers,%fruits,Days_since_start,Period,Day_of_Period,%leaves_roll2D,%flowers_roll2D,%fruits_roll2D
2024-05-17 10:00:00,75.0,0.0,0.0,344.0,0,344.0,75.0,0.0,0.0
2024-05-18 10:00:00,75.0,0.0,0.0,345.0,0,345.0,75.0,0.0,0.0
2024-05-19 10:00:00,75.0,0.0,0.0,346.0,0,346.0,75.0,0.0,0.0
2024-05-20 10:00:00,75.0,0.0,0.0,347.0,0,347.0,75.0,0.0,0.0
2024-05-21 10:00:00,75.0,0.0,0.0,348.0,0,348.0,75.0,0.0,0.0
2024-05-22 10:00:00,75.0,0.0,0.0,349.0,0,349.0,75.0,0.0,0.0
2024-05-23 10:00:00,75.0,0.0,0.0,350.0,0,350.0,75.0,0.0,0.0
2024-05-24 10:00:00,75.0,0.0,0.0,351.0,0,351.0,75.0,0.0,0.0
2024-05-25 10:00:00,75.0,0.0,0.0,352.0,0,352.0,75.0,0.0,0.0
2024-05-26 10:00:00,75.0,0.0,0.0,353.0,0,353.0,75.0,0.0,0.0
2024-05-27 10:00:00,75.0,0.0,0.0,354.0,0,354.0,75.0,0.0,0.0
2024-05-28 10:00:00,75.0,0.0,0.0,355.0,0,355.0,75.0,0.0,0.0
2024-05-29 10:00:00,75.0,0.0,0.0,356.0,0,356.0,75.0,0.0,0.0
2024-05-30 10:00:00,75.0,0.0,0.0,357.0,0,357.0,75.0,0.0,0.0
2024-05-31 10:00:00,75.0,0.0,0.0,358.0,0,358.0,75.0,0.0,0.0
2024-06-01 10:00:00,75.0,0.0,0.0,359.0,0,359.0,75.0,0.0,0.0
2024-06-02 10:00:00,75.0,0.0,0.0,360.0,0,360.0,75.0,0.0,0.0
2024-06-03 10:00:00,75.0,0.0,0.0,361.0,0,361.0,75.0,0.0,0.0
2024-06-04 10:00:00,75.0,0.0,0.0,362.0,0,362.0,75.0,0.0,0.0
2024-06-05 10:00:00,75.0,0.0,0.0,363.0,0,363.0,75.0,0.0,0.0
2024-06-06 10:00:00,75.0,0.0,0.0,364.0,0,364.0,75.0,0.0,0.0
2024-06-07 10:00:00,75.0,0.0,0.0,365.0,1,0.0,75.0,0.0,0.0
2024-06-08 10:00:00,75.0,0.0,0.0,366.0,1,1.0,75.0,0.0,0.0
2024-06-09 10:00:00,75.0,0.0,0.0,367.0,1,2.0,75.0,0.0,0.0
2024-06-10 10:00:00,75.0,0.0,0.0,368.0,1,3.0,75.0,0.0,0.0
